団体コード,都道府県,市区町村,受入件数,受入額_円,返礼品調達費_円,送付費_円,広報費_円,決済費_円,事務費_円,その他費_円,経費合計_円,返礼品率,送付費率,広報費率,決済費率,事務費率,経費率合計,ポータル費_円,年度,受入額_億円,経費合計_億円,ポータル費_億円
014061,北海道,古平町,32549,384350500,114043334.0,46002537.0,0.0,2375153.0,20452868.0,0.0,182873892.0,0.2967170174098902,0.1196890260322283,0.0,0.0061796537275221,0.0532141053543575,0.4757998025239983,17803387.0,2024,3.84,1.83,0.18
014079,北海道,仁木町,20410,553513100,127391000.0,51216570.0,145200.0,2055000.0,92672485.0,0.0,273480255.0,0.2301499277975534,0.0925300051615761,0.0002623244147247,0.003712649257985,0.1674260012996982,0.4940809079315376,60567954.0,2024,5.54,2.73,0.61
014087,北海道,余市町,104227,1523801578,407592366.0,109268958.0,5287419.0,5019610.0,233069393.0,0.0,760237746.0,0.2674838849655004,0.0717081276050496,0.0034698868122579,0.0032941362395675,0.1529525867179539,0.4989086223403294,162423510.0,2024,15.24,7.6,1.62
014095,北海道,赤井川村,11455,279730000,58106537.0,22015160.0,1947189.0,32002742.0,25189605.0,0.0,139261233.0,0.2077236513781146,0.0787014621241911,0.0069609587816823,0.1144058270475101,0.0900497086476245,0.4978416079791227,29014597.0,2024,2.8,1.39,0.29
014231,北海道,南幌町,15827,173876000,37142109.0,19461573.0,2200000.0,472888.0,26948598.0,0.0,86225168.0,0.2136126262393889,0.1119278853895879,0.0126526950240401,0.0027196852929674,0.1549874508270261,0.4959003427730106,19410646.0,2024,1.74,0.86,0.19
014249,北海道,奈井江町,2172,122491000,23906048.0,6983048.0,1540.0,614581.0,25131874.0,0.0,56637091.0,0.1951657509531312,0.0570086618608714,1.2572352254451347e-05,0.0050173563772032,0.2051732290535631,0.4623775705970234,12466294.0,2024,1.22,0.57,0.12
014257,北海道,上砂川町,358,8893000,2071937.0,574305.0,0.0,78645.0,1419110.0,0.0,4143997.0,0.2329851568649499,0.0645794445069155,0.0,0.0088434723940177,0.1595760710671314,0.4659841448330147,4061679.0,2024,0.09,0.04,0.04
014273,北海道,由仁町,7808,177586200,43605825.0,16780268.0,0.0,4717109.0,14132535.0,0.0,79235737.0,0.2455473736134902,0.09449083318411,0.0,0.0265623623907713,0.0795812681390783,0.44618183732745,18319060.0,2024,1.78,0.79,0.18
014281,北海道,長沼町,18031,307125500,81677746.0,25113020.0,0.0,2811164.0,43827326.0,0.0,153429256.0,0.2659425739640635,0.0817679417697325,0.0,0.0091531442358254,0.1427016838393425,0.4995653438089641,40443112.0,2024,3.07,1.53,0.4
014290,北海道,栗山町,9511,335523000,71565889.0,24078953.0,0.0,1762380.0,37582365.0,18562133.0,153551720.0,0.2132965221460227,0.0717654318779934,0.0,0.005252635437809,0.1120112928174819,0.4576488646083875,35949985.0,2024,3.36,1.54,0.36
